name,latitude,longitude,keyword_1,count_1,keyword_2,count_2,keyword_3,count_3
Seremban,2.7259,101.9378,paint,14.0,street art,10.0,festival,4.0
Kota Kinabalu,5.9844,116.0773,paint,2.0,visual art,1.0,sculptur,1.0
Sandakan,5.8559,118.0722,visual art,0.0,fine art,0.0,illustrat,0.0
Kuantan,3.8168,103.3317,paint,8.0,visual art,0.0,fine art,0.0
Klang,3.0449,101.4456,fair,5.0,interactiv,4.0,digital,3.0
Kota Bharu,6.1254,102.2405,street art,29.0,mural,25.0,paint,10.0
Johor Bahru,1.4799,103.7643,design,6.0,festival,5.0,paint,3.0
Kuala Lumpur,3.1319,101.6841,design,10.0,contemporary,7.0,paint,4.0
Kampung,3.1293,101.5221,paint,21.0,design,8.0,architectur,7.0
Vientiane,17.9757,102.6331,contemporary,16.0,craft,12.0,paint,11.0
Dili,-8.5563,125.5798,arte,11.0,immers,6.0,draw,1.0
Brunei,4.8923,114.9419,craft,10.0,festival,10.0,ethnic,3.0
Singapore,1.3521,103.8198,digital,7.0,design,7.0,immers,6.0
Pakse,15.1172,105.8159,ethnic,9.0,craft,1.0,architectur,1.0
Taif,21.2841,40.4248,digital,10.0,craft,5.0,festival,5.0
Dammam,26.4207,50.0888,illustrat,2.0,wood,1.0,visual art,0.0
Jeddah,21.5292,39.1611,fine art,7.0,contemporary,5.0,photograph,5.0
Riyadh,24.7136,46.6753,contemporary,15.0,modern,12.0,design,12.0
Mecca,21.4241,39.8173,garden,9.0,modern,7.0,paint,5.0
Maiduguri,11.8311,13.151,contemporary,8.0,fair,8.0,modern,5.0
Aba,5.1216,7.3733,craft,10.0,immers,8.0,festival,6.0
Jos,9.8965,8.8583,craft,6.0,modern,5.0,sculptur,5.0
Benin,6.335,5.6037,architectur,15.0,design,10.0,contemporary,5.0
Zaria,11.1247,7.7254,modern,27.0,paint,21.0,contemporary,12.0
Ibadan,7.3775,3.947,paint,15.0,wood,6.0,sculptur,6.0
Port Harcourt,4.8472,6.9746,paint,8.0,print,5.0,digital,3.0
